Estacion,Tipo,IDEstacion,IDNodo,hora,>c5_Dsel,>c5_GNV,>c5_Gas,AL_Dsel,AT_Dsel,AUT_GNV,AUT_Gas,BA_Dsel,BT_Dsel,B_Dsel,C2G_Dsel,C2G_GNV,C2G_Gas,C2P_Dsel,C2P_GNV,C2P_Gas,C3-C4_Dsel,C3-C4_GNV,C3-C4_Gas,CC_Dsel,CC_GNV,CC_Gas,ESP_Dsel,ESP_GNV,ESP_Gas,INT_Dsel,INT_GNV,INT_Gas,MB_Dsel,M_Gas,TX_GNV,TX_Gas,c5_Dsel,c5_GNV,c5_Gas
L_AK_45_AC_170,NOHAB,1,3493,0,3.4951031806,1.3141207143,4.5241094381,6.833333333,2.166666667,7.22774367805,346.372149613,0.0,7.5,1.166666667,12.1051374456,1.40373973971,2.3244561447,2.03875999152,0.236419324662,0.391487350817,1.06101346545,0.398929502521,1.37339036502,20.721870229,2.98441487546,124.65879643,0.277554214089,0.0334227587646,10.5223563571,0.778071189784,0.566608840812,0.488653302404,0.166666667,40.16666667,58.8664992273,32.1685259474,0.998600908905,0.375463061288,1.29260269681
L_AK_45_AC_170,NOHAB,1,3493,1,2.68373994247,1.00905697713,3.4738697474,0.0,0.0,5.44416893159,260.898639975,0.0,2.0,1.0,12.9970949443,1.50717319453,2.49573186115,2.03875999152,0.236419324662,0.391487350817,0.748950681585,0.28159729593,0.969452022485,15.6083789258,2.24795724194,93.8970136191,0.209233176847,0.0251956181544,7.932237872,0.707337445528,0.515098946389,0.444230275082,0.166666667,35.5,44.3401399497,24.2303680566,0.936188351981,0.351996619913,1.21181502811
L_AK_45_AC_170,NOHAB,1,3493,2,2.43408971515,0.915191211774,3.15071907308,0.0,0.166666667,5.19836876676,249.119261062,0.0,1.833333333,0.166666667,10.8309124562,1.2559776624,2.07977655145,3.82267498362,0.443286233685,0.73403878269,1.49790136317,0.563194591861,1.93890404497,14.9036722642,2.14646364989,89.6576335199,0.196422982347,0.0236530292879,7.44659065537,0.778071189784,0.566608840812,0.488653302404,0.5,26.33333333,42.3382157175,23.1363850195,0.686538124661,0.258130854556,0.888664353783
L_AK_45_AC_170,NOHAB,1,3493,3,3.86957852027,1.45491936184,5.00883544789,0.0,0.166666667,5.17196048422,247.853707939,0.0,2.0,1.0,11.8502924492,1.37418732442,2.27552022634,3.44040748526,0.398957610317,0.660634904421,1.31066369277,0.492795267878,1.69654103935,14.8279599772,2.13555937952,89.2021629245,0.179342723005,0.0215962441315,6.79906103286,0.636603700848,0.463589051658,0.399807247494,0.333333333,32.0,42.1231329457,23.0188496503,1.49790136317,0.563194591861,1.93890404497
L_AK_45_AC_170,NOHAB,1,3493,4,5.49230499954,2.06504683729,7.10931483317,5.666666667,5.5,4.47925093032,214.657276531,0.0,10.0,7.0,18.7311074198,2.17210254506,3.59679003518,7.90019496361,0.916124882654,1.51701348374,3.55751573753,1.33758715567,4.6048971068,12.8419684809,1.84953198437,77.2548190353,0.337335121928,0.040621506829,12.7887100412,3.89035594977,2.83304420468,2.44326651255,2.833333333,25.66666667,36.4813464857,19.9358065526,2.43408971515,0.915191211774,3.15071907308
L_AK_45_AC_170,NOHAB,1,3493,5,8.30087005548,3.12103669703,10.7447599175,11.66666667,18.5,7.74981510127,371.391160962,2.166666667,16.83333333,28.5,38.7364398366,4.4919671683,7.43825966509,14.9084324361,1.72881631137,2.86275125249,6.55331846387,2.46397633939,8.48270519674,22.2186438784,3.19998390929,133.663099594,0.772881734939,0.0930695282911,29.3007154068,7.56851066422,5.51155872423,4.75326394154,8.833333333,104.3333333,63.1185201069,34.4921097479,3.55751573753,1.33758715567,4.6048971068
L_AK_45_AC_170,NOHAB,1,3493,6,3.80716596597,1.43145292145,4.92804778258,7.666666667,41.16666667,18.030762471,864.080719301,3.333333333,16.83333333,40.66666667,52.2432247737,6.0582451934,10.0318633629,22.171514905,2.57106015537,4.2574249396,5.36747988344,2.0181139537,6.94773949286,51.6940191431,7.44510017667,310.981303221,1.25112899611,0.150659512621,47.4315448213,9.97345797995,7.26289514264,6.26364687741,13.16666667,243.1666667,146.851896297,80.2495323903,2.05961437436,0.774392563809,2.66599306183
L_AK_45_AC_170,NOHAB,1,3493,7,3.93199107832,1.47838580364,5.08962311804,5.166666667,72.33333333,22.3881290223,1072.8969815,4.333333333,17.33333333,27.83333333,50.4593097838,5.85137828464,9.68931193151,13.761629941,1.59583044127,2.64253961769,4.18164130676,1.57225156941,5.41277379382,64.1865463048,9.2443047601,386.13395031,0.982114911607,0.118265146424,37.232953272,9.83199049229,7.15987535441,6.1748008233,11.66666667,266.8333333,182.340553082,99.6428680163,2.05961437436,0.774392563809,2.66599306183
L_AK_45_AC_170,NOHAB,1,3493,8,3.18304039674,1.1967885077,4.12017109556,3.833333333,75.66666667,24.4296923715,1170.73397149,3.833333333,18.0,34.0,55.9384772629,6.48675521989,10.7414341872,16.5649249316,1.92090701293,3.18083472548,5.36747988344,2.0181139537,6.94773949286,70.0396884015,10.0872887258,421.345330415,0.82412251294,0.0992398837572,31.2433042733,9.76125674634,7.10836545875,6.13037779491,10.33333333,231.5,198.968105562,108.729256037,1.87237670396,0.703993239826,2.42363005621
L_AK_45_AC_170,NOHAB,1,3493,9,3.93199107832,1.47838580364,5.08962311804,4.5,62.33333333,24.1696723669,1158.27314112,4.333333333,15.33333333,27.83333333,56.3207447613,6.53108384326,10.8148380655,22.298937407,2.58583636346,4.28189289952,4.18164130676,1.57225156941,5.41277379382,69.2942135989,9.97992360545,416.860696999,0.696020567937,0.0838139950919,26.386832107,9.47832176677,6.90232587921,5.95268568403,10.66666667,189.5,196.850367568,107.571984745,1.93478926089,0.727459681201,2.50441772491
