Estacion,Tipo,IDEstacion,IDNodo,hora,>C5,AL,AT,B,BA,BT,C,C2G,C2P,C3-C4,C5,ESP,INT,L,M,TOTAL
L_AK_45_AC_170,NOHAB,1,3493,0,9.333333333333334,6.833333333333333,2.1666666666666665,1.1666666666666667,0.0,7.5,0.16666666666666666,15.833333333333334,2.6666666666666665,2.8333333333333335,2.6666666666666665,10.833333333333334,1.8333333333333333,593.0,40.166666666666664,697.0
L_AK_45_AC_170,NOHAB,1,3493,1,7.166666666666667,0.0,0.0,1.0,0.0,2.0,0.16666666666666666,17.0,2.6666666666666665,2.0,2.5,8.166666666666666,1.6666666666666667,446.6666666666667,35.5,526.5
L_AK_45_AC_170,NOHAB,1,3493,2,6.5,0.0,0.16666666666666666,0.16666666666666666,0.0,1.8333333333333333,0.5,14.166666666666666,5.0,4.0,1.8333333333333333,7.666666666666667,1.8333333333333333,426.5,26.333333333333332,496.5
L_AK_45_AC_170,NOHAB,1,3493,3,10.333333333333334,0.0,0.16666666666666666,1.0,0.0,2.0,0.3333333333333333,15.5,4.5,3.5,4.0,7.0,1.5,424.3333333333333,32.0,506.1666666666667
L_AK_45_AC_170,NOHAB,1,3493,4,14.666666666666666,5.666666666666667,5.5,7.0,0.0,10.0,2.8333333333333335,24.5,10.333333333333334,9.5,6.5,13.166666666666666,9.166666666666666,367.5,25.666666666666668,512.0
L_AK_45_AC_170,NOHAB,1,3493,5,22.166666666666668,11.666666666666666,18.5,28.5,2.1666666666666665,16.833333333333332,8.833333333333334,50.666666666666664,19.5,17.5,9.5,30.166666666666668,17.833333333333332,635.8333333333334,104.33333333333333,994.0
L_AK_45_AC_170,NOHAB,1,3493,6,10.166666666666666,7.666666666666667,41.166666666666664,40.666666666666664,3.3333333333333335,16.833333333333332,13.166666666666666,68.33333333333333,29.0,14.333333333333334,5.5,48.833333333333336,23.5,1479.3333333333333,243.16666666666666,2044.9999999999998
L_AK_45_AC_170,NOHAB,1,3493,7,10.5,5.166666666666667,72.33333333333333,27.833333333333332,4.333333333333333,17.333333333333332,11.666666666666666,66.0,18.0,11.166666666666666,5.5,38.333333333333336,23.166666666666668,1836.8333333333333,266.8333333333333,2415.0
L_AK_45_AC_170,NOHAB,1,3493,8,8.5,3.8333333333333335,75.66666666666667,34.0,3.8333333333333335,18.0,10.333333333333334,73.16666666666667,21.666666666666668,14.333333333333334,5.0,32.166666666666664,23.0,2004.3333333333333,231.5,2559.333333333333
L_AK_45_AC_170,NOHAB,1,3493,9,10.5,4.5,62.333333333333336,27.833333333333332,4.333333333333333,15.333333333333334,10.666666666666666,73.66666666666667,29.166666666666668,11.166666666666666,5.166666666666667,27.166666666666668,22.333333333333332,1983.0,189.5,2476.6666666666665
L_AK_45_AC_170,NOHAB,1,3493,10,11.833333333333334,4.666666666666667,43.833333333333336,24.166666666666668,3.5,15.833333333333334,9.333333333333334,67.0,26.166666666666668,9.5,2.8333333333333335,24.833333333333332,21.0,2215.3333333333335,214.66666666666666,2694.5000000000005
