Estacion,Tipo,IDEstacion,IDNodo,hora,>c5_Dsel,>c5_GNV,>c5_Gas,AL_Dsel,AT_Dsel,AUT_GNV,AUT_Gas,BA_Dsel,BT_Dsel,B_Dsel,C2G_Dsel,C2G_GNV,C2G_Gas,C2P_Dsel,C2P_GNV,C2P_Gas,C3-C4_Dsel,C3-C4_GNV,C3-C4_Gas,CC_Dsel,CC_GNV,CC_Gas,ESP_Dsel,ESP_GNV,ESP_Gas,INT_Dsel,INT_GNV,INT_Gas,MB_Dsel,M_Gas,TX_GNV,TX_Gas,c5_Dsel,c5_GNV,c5_Gas
L_AK_45_AC_170,NOHAB,1,3493,0,3.49510318073,1.31412071434,4.52410943826,6.83333333333,2.16666666667,7.22774367805,346.372149613,0.0,7.5,1.16666666667,12.1051374481,1.40373974,2.32445614519,2.03875999127,0.236419324632,0.391487350768,1.06101346558,0.398929502568,1.37339036519,20.721870229,2.98441487546,124.65879643,0.277554214174,0.0334227587749,10.5223563604,0.778071189925,0.566608840915,0.488653302493,0.166666666667,40.1666666667,58.8664992273,32.1685259474,0.99860090878,0.375463061241,1.29260269665
L_AK_45_AC_170,NOHAB,1,3493,1,2.68373994235,1.00905697708,3.47386974724,0.0,0.0,5.44416893119,260.898639956,0.0,2.0,1.0,12.9970949443,1.50717319453,2.49573186115,2.03875999127,0.236419324632,0.391487350768,0.748950681585,0.28159729593,0.969452022485,15.6083789246,2.24795724177,93.8970136121,0.209233176839,0.0251956181534,7.93223787167,0.707337445387,0.515098946286,0.444230274994,0.166666666667,35.5,44.3401399464,24.2303680548,0.936188351981,0.351996619913,1.21181502811
L_AK_45_AC_170,NOHAB,1,3493,2,2.43408971515,0.915191211774,3.15071907308,0.0,0.166666666667,5.19836876676,249.119261062,0.0,1.83333333333,0.166666666667,10.8309124536,1.25597766211,2.07977655096,3.82267498362,0.443286233685,0.73403878269,1.49790136317,0.563194591861,1.93890404497,14.9036722642,2.14646364989,89.6576335199,0.196422982338,0.0236530292868,7.44659065504,0.778071189925,0.566608840915,0.488653302493,0.5,26.3333333333,42.3382157175,23.1363850195,0.686538124786,0.258130854603,0.888664353944
L_AK_45_AC_170,NOHAB,1,3493,3,3.86957852152,1.45491936231,5.0088354495,0.0,0.166666666667,5.17196048463,247.853707958,0.0,2.0,1.0,11.8502924492,1.37418732442,2.27552022634,3.44040748526,0.398957610317,0.660634904421,1.31066369277,0.492795267878,1.69654103935,14.8279599784,2.13555937968,89.2021629315,0.179342723005,0.0215962441315,6.79906103286,0.636603700848,0.463589051658,0.399807247494,0.333333333333,32.0,42.1231329491,23.0188496521,1.49790136317,0.563194591861,1.93890404497
L_AK_45_AC_170,NOHAB,1,3493,4,5.49230499829,2.06504683682,7.10931483155,5.66666666667,5.5,4.47925093032,214.657276531,0.0,10.0,7.0,18.7311074198,2.17210254506,3.59679003518,7.90019496616,0.916124882949,1.51701348423,3.55751573753,1.33758715567,4.6048971068,12.8419684809,1.84953198437,77.2548190353,0.337335121842,0.0406215068187,12.788710038,3.89035594963,2.83304420457,2.44326651246,2.83333333333,25.6666666667,36.4813464857,19.9358065526,2.43408971515,0.915191211774,3.15071907308
L_AK_45_AC_170,NOHAB,1,3493,5,8.30087005423,3.12103669656,10.7447599159,11.6666666667,18.5,7.74981510167,371.391160982,2.16666666667,16.8333333333,28.5,38.7364398341,4.49196716801,7.4382596646,14.9084324361,1.72881631137,2.86275125249,6.55331846387,2.46397633939,8.48270519674,22.2186438796,3.19998390946,133.663099601,0.772881734854,0.0930695282808,29.3007154035,7.56851066564,5.51155872526,4.75326394243,8.83333333333,104.333333333,63.1185201102,34.4921097497,3.55751573753,1.33758715567,4.6048971068
L_AK_45_AC_170,NOHAB,1,3493,6,3.80716596472,1.43145292098,4.92804778096,7.66666666667,41.1666666667,18.0307624751,864.080719495,3.33333333333,16.8333333333,40.6666666667,52.2432247762,6.0582451937,10.0318633634,22.171514905,2.57106015537,4.2574249396,5.36747988469,2.01811395417,6.94773949447,51.6940191548,7.44510017835,310.981303291,1.2511289962,0.150659512631,47.4315448245,9.97345797995,7.26289514264,6.26364687741,13.1666666667,243.166666667,146.85189633,80.2495324084,2.05961437436,0.774392563809,2.66599306183
L_AK_45_AC_170,NOHAB,1,3493,7,3.93199107832,1.47838580364,5.08962311804,5.16666666667,72.3333333333,22.3881290264,1072.8969817,4.33333333333,17.3333333333,27.8333333333,50.4593097838,5.85137828464,9.68931193151,13.761629941,1.59583044127,2.64253961769,4.18164130552,1.57225156895,5.41277379221,64.1865463164,9.24430476178,386.13395038,0.982114911692,0.118265146434,37.2329532752,9.83199049088,7.15987535338,6.17480082241,11.6666666667,266.833333333,182.340553115,99.6428680344,2.05961437436,0.774392563809,2.66599306183
L_AK_45_AC_170,NOHAB,1,3493,8,3.18304039674,1.1967885077,4.12017109556,3.83333333333,75.6666666667,24.4296923755,1170.73397168,3.83333333333,18.0,34.0,55.9384772604,6.48675521959,10.7414341867,16.564924929,1.92090701264,3.18083472499,5.36747988469,2.01811395417,6.94773949447,70.0396884132,10.0872887274,421.345330485,0.824122512855,0.0992398837469,31.2433042701,9.76125674634,7.10836545875,6.13037779491,10.3333333333,231.5,198.968105595,108.729256055,1.87237670396,0.703993239826,2.42363005621
L_AK_45_AC_170,NOHAB,1,3493,9,3.93199107832,1.47838580364,5.08962311804,4.5,62.3333333333,24.1696723669,1158.27314112,4.33333333333,15.3333333333,27.8333333333,56.3207447587,6.53108384296,10.814838065,22.2989374045,2.58583636316,4.28189289903,4.18164130552,1.57225156895,5.41277379221,69.2942135989,9.97992360545,416.860696999,0.696020567852,0.0838139950816,26.3868321037,9.47832176818,6.90232588024,5.95268568491,10.6666666667,189.5,196.850367568,107.571984745,1.93478926076,0.727459681154,2.50441772475
