Cat,Factor
>C5,1.1625363743568586
AL,1.0
AT,1.0727146814404431
B,0.9419540229885057
BA,2.5555555555555554
BT,0.8656480505795574
C,0.8860356536502547
C2G,1.2378601755441903
C2P,1.2378601755441903
C3-C4,1.1625363743568586
C5,1.1625363743568586
ESP,1.0
INT,1.0
L,1.2743484530900357
M,1.4986366109186782
