Estacion,Tipo,IDEstacion,IDNodo,hora,>C5_DSEL,>C5_GAS,>C5_GNV,AL_DSEL,AT_DSEL,AUT_GAS,AUT_GNV,BA_DSEL,BT_DSEL,B_DSEL,C2G_DSEL,C2G_GAS,C2G_GNV,C2P_DSEL,C2P_GAS,C2P_GNV,C3-C4_DSEL,C3-C4_GAS,C3-C4_GNV,C5_DSEL,C5_GAS,C5_GNV,CC_DSEL,CC_GAS,CC_GNV,ESP_DSEL,ESP_GAS,ESP_GNV,INT_DSEL,INT_GAS,INT_GNV,MB_DSEL,M_GAS,TX_GAS,TX_GNV
L_AK_45_AC_170,NOHAB,1,3493,0,3.4951031806,5.70037789201,1.45867399287,6.833333333,2.31833333369,439.892630009,8.74556985044,0.0,6.525,1.09666666698,14.2840621858,2.92881474232,1.55815111108,2.5484499894,0.493274062029,0.262425450375,1.06101346545,1.73047185993,0.442811747798,0.998600908905,1.62867939798,0.41676399803,31.4972427481,159.56325943,3.58129785055,0.277554214089,10.5223563571,0.0334227587646,0.778071189784,0.488653302404,0.566608840812,0.166666667,50.6100000042,35.7070638016,61.8098241887
L_AK_45_AC_170,NOHAB,1,3493,1,2.68373994247,4.37707588172,1.12005324461,0.0,0.0,331.341272768,6.58744440722,0.0,1.74,0.94,15.3365720343,3.14462214505,1.67296224593,2.5484499894,0.493274062029,0.262425450375,0.748950681585,1.22150954833,0.312572998482,0.936188351981,1.52688693542,0.390716248103,23.7247359672,120.188177432,2.69754869033,0.209233176847,7.932237872,0.0251956181544,0.707337445528,0.444230275082,0.515098946389,0.166666667,44.73,26.8957085428,46.5571469472
L_AK_45_AC_170,NOHAB,1,3493,2,2.43408971515,3.96990603208,1.01586224507,0.0,0.17833333369,316.381461549,6.29002620778,0.0,1.59499999971,0.15666666698,12.7804766983,2.62051845483,1.39413520526,4.77834372952,0.924888866189,0.49204771939,1.49790136317,2.44301909666,0.625145996966,0.686538124661,1.11971708577,0.286525248557,22.6535818416,114.761770905,2.57575637987,0.196422982347,7.44659065537,0.0236530292879,0.778071189784,0.488653302404,0.566608840812,0.5,33.1799999958,25.6813873716,44.4551265034
L_AK_45_AC_170,NOHAB,1,3493,3,3.86957852027,6.31113266434,1.61496049164,0.0,0.17833333369,314.774209083,6.25807218591,0.0,1.74,0.94,13.9833450901,2.86715548519,1.52534793011,4.30050935658,0.83239997957,0.442842947452,1.31066369277,2.13764170958,0.547002747345,1.49790136317,2.44301909666,0.625145996966,22.5384991653,114.178768543,2.56267125542,0.179342723005,6.79906103286,0.0215962441315,0.636603700848,0.399807247494,0.463589051658,0.333333333,40.32,25.5509231118,44.229289593
L_AK_45_AC_170,NOHAB,1,3493,4,5.49230499954,8.95773668979,2.29220198939,5.666666667,5.885,272.614741194,5.41989362569,0.0,8.7,6.58,22.1027067554,4.53195544433,2.41103382502,9.87524370451,1.91143698951,1.01689861975,3.55751573753,5.80217035457,1.48472174279,2.43408971515,3.96990603208,1.01586224507,19.519792091,98.8861683652,2.21943838124,0.337335121928,12.7887100412,0.040621506829,3.89035594977,2.44326651255,2.83304420468,2.833333333,32.3400000042,22.1287452734,38.30541381
L_AK_45_AC_170,NOHAB,1,3493,5,8.30087005548,13.538397496,3.4643507337,11.66666667,19.795,471.666774422,9.37727627254,5.54666666752,14.6449999971,26.79,45.7089990072,9.37220717801,4.98608355681,18.6355405451,3.60706657814,1.91898610562,6.55331846387,10.6882085479,2.73501373672,3.55751573753,5.80217035457,1.48472174279,33.7723386952,171.08876748,3.83998069115,0.772881734939,29.3007154068,0.0930695282911,7.56851066422,4.75326394154,5.51155872423,8.833333333,131.459999958,38.2862418202,66.2744461122
L_AK_45_AC_170,NOHAB,1,3493,6,3.80716596597,6.20934020605,1.58891274281,7.666666667,44.0483333369,1097.38251351,21.8172225899,8.53333333248,14.6449999971,38.2266666698,61.647005233,12.6401478373,6.72465216467,27.7143936312,5.3643554239,2.85387677246,5.36747988344,8.754151761,2.24010648861,2.05961437436,3.35915125791,0.859575745828,78.5749090975,398.056068123,8.934120212,1.25112899611,47.4315448213,0.150659512621,9.97345797995,6.26364687741,7.26289514264,13.16666667,306.390000042,89.0769809532,154.194491112
L_AK_45_AC_170,NOHAB,1,3493,7,3.93199107832,6.41292512873,1.64100824204,5.166666667,77.3966666631,1362.57916651,27.089636117,11.0933333325,15.0799999971,26.1633333302,59.5419855449,12.2085330337,6.49502989595,17.2020374263,3.32959991829,1.77137178981,4.18164130676,6.82009498021,1.74519924205,2.05961437436,3.35915125791,0.859575745828,97.5635503833,494.251456397,11.0931657121,0.982114911607,37.232953272,0.118265146424,9.83199049229,6.1748008233,7.15987535441,11.66666667,336.209999958,110.603583498,191.457580736
L_AK_45_AC_170,NOHAB,1,3493,8,3.18304039674,5.19141558041,1.32843524355,3.833333333,80.9633333369,1486.83214379,29.5599277695,9.81333333248,15.66,31.96,66.0074031702,13.5342070759,7.20029829408,20.7061561645,4.0078517541,2.13220678435,5.36747988344,8.754151761,2.24010648861,1.87237670396,3.05377387082,0.781432496207,106.46032637,539.322022931,12.104746471,0.82412251294,31.2433042733,0.0992398837572,9.76125674634,6.13037779491,7.10836545875,10.33333333,291.69,120.689474201,208.91651084
L_AK_45_AC_170,NOHAB,1,3493,9,3.93199107832,6.41292512873,1.64100824204,4.5,66.6966666631,1471.00688922,29.2453035639,11.0933333325,13.3399999971,26.1633333302,66.4584788183,13.6266959625,7.24950306602,27.8736717587,5.3951850534,2.87027836344,4.18164130676,6.82009498021,1.74519924205,1.93478926089,3.15556633339,0.807480246133,105.32720467,533.581692159,11.9759083265,0.696020567937,26.386832107,0.0838139950919,9.47832176677,5.95268568403,6.90232587921,10.66666667,238.77,119.404903067,206.692885946
