Estacion,Tipo,IDEstacion,IDNodo,hora,>C5_DSEL,>C5_GAS,>C5_GNV,AL_DSEL,AT_DSEL,AUT_GAS,AUT_GNV,BA_DSEL,BT_DSEL,B_DSEL,C2G_DSEL,C2G_GAS,C2G_GNV,C2P_DSEL,C2P_GAS,C2P_GNV,C3-C4_DSEL,C3-C4_GAS,C3-C4_GNV,C5_DSEL,C5_GAS,C5_GNV,CC_DSEL,CC_GAS,CC_GNV,ESP_DSEL,ESP_GAS,ESP_GNV,INT_DSEL,INT_GAS,INT_GNV,MB_DSEL,M_GAS,TX_GAS,TX_GNV
L_AK_45_AC_170,NOHAB,1,3493,0,3.4951031806,4.5241094381,1.3141207143,6.833333333,2.166666667,346.372149613,7.22774367805,0.0,7.5,1.166666667,12.1051374456,2.3244561447,1.40373973971,2.03875999152,0.391487350817,0.236419324662,1.06101346545,1.37339036502,0.398929502521,0.998600908905,1.29260269681,0.375463061288,20.721870229,124.65879643,2.98441487546,0.277554214089,10.5223563571,0.0334227587646,0.778071189784,0.488653302404,0.566608840812,0.166666667,40.16666667,32.1685259474,58.8664992273
L_AK_45_AC_170,NOHAB,1,3493,1,2.68373994247,3.4738697474,1.00905697713,0.0,0.0,260.898639975,5.44416893159,0.0,2.0,1.0,12.9970949443,2.49573186115,1.50717319453,2.03875999152,0.391487350817,0.236419324662,0.748950681585,0.969452022485,0.28159729593,0.936188351981,1.21181502811,0.351996619913,15.6083789258,93.8970136191,2.24795724194,0.209233176847,7.932237872,0.0251956181544,0.707337445528,0.444230275082,0.515098946389,0.166666667,35.5,24.2303680566,44.3401399497
L_AK_45_AC_170,NOHAB,1,3493,2,2.43408971515,3.15071907308,0.915191211774,0.0,0.166666667,249.119261062,5.19836876676,0.0,1.833333333,0.166666667,10.8309124562,2.07977655145,1.2559776624,3.82267498362,0.73403878269,0.443286233685,1.49790136317,1.93890404497,0.563194591861,0.686538124661,0.888664353783,0.258130854556,14.9036722642,89.6576335199,2.14646364989,0.196422982347,7.44659065537,0.0236530292879,0.778071189784,0.488653302404,0.566608840812,0.5,26.33333333,23.1363850195,42.3382157175
L_AK_45_AC_170,NOHAB,1,3493,3,3.86957852027,5.00883544789,1.45491936184,0.0,0.166666667,247.853707939,5.17196048422,0.0,2.0,1.0,11.8502924492,2.27552022634,1.37418732442,3.44040748526,0.660634904421,0.398957610317,1.31066369277,1.69654103935,0.492795267878,1.49790136317,1.93890404497,0.563194591861,14.8279599772,89.2021629245,2.13555937952,0.179342723005,6.79906103286,0.0215962441315,0.636603700848,0.399807247494,0.463589051658,0.333333333,32.0,23.0188496503,42.1231329457
L_AK_45_AC_170,NOHAB,1,3493,4,5.49230499954,7.10931483317,2.06504683729,5.666666667,5.5,214.657276531,4.47925093032,0.0,10.0,7.0,18.7311074198,3.59679003518,2.17210254506,7.90019496361,1.51701348374,0.916124882654,3.55751573753,4.6048971068,1.33758715567,2.43408971515,3.15071907308,0.915191211774,12.8419684809,77.2548190353,1.84953198437,0.337335121928,12.7887100412,0.040621506829,3.89035594977,2.44326651255,2.83304420468,2.833333333,25.66666667,19.9358065526,36.4813464857
L_AK_45_AC_170,NOHAB,1,3493,5,8.30087005548,10.7447599175,3.12103669703,11.66666667,18.5,371.391160962,7.74981510127,2.166666667,16.83333333,28.5,38.7364398366,7.43825966509,4.4919671683,14.9084324361,2.86275125249,1.72881631137,6.55331846387,8.48270519674,2.46397633939,3.55751573753,4.6048971068,1.33758715567,22.2186438784,133.663099594,3.19998390929,0.772881734939,29.3007154068,0.0930695282911,7.56851066422,4.75326394154,5.51155872423,8.833333333,104.3333333,34.4921097479,63.1185201069
L_AK_45_AC_170,NOHAB,1,3493,6,3.80716596597,4.92804778258,1.43145292145,7.666666667,41.16666667,864.080719301,18.030762471,3.333333333,16.83333333,40.66666667,52.2432247737,10.0318633629,6.0582451934,22.171514905,4.2574249396,2.57106015537,5.36747988344,6.94773949286,2.0181139537,2.05961437436,2.66599306183,0.774392563809,51.6940191431,310.981303221,7.44510017667,1.25112899611,47.4315448213,0.150659512621,9.97345797995,6.26364687741,7.26289514264,13.16666667,243.1666667,80.2495323903,146.851896297
L_AK_45_AC_170,NOHAB,1,3493,7,3.93199107832,5.08962311804,1.47838580364,5.166666667,72.33333333,1072.8969815,22.3881290223,4.333333333,17.33333333,27.83333333,50.4593097838,9.68931193151,5.85137828464,13.761629941,2.64253961769,1.59583044127,4.18164130676,5.41277379382,1.57225156941,2.05961437436,2.66599306183,0.774392563809,64.1865463048,386.13395031,9.2443047601,0.982114911607,37.232953272,0.118265146424,9.83199049229,6.1748008233,7.15987535441,11.66666667,266.8333333,99.6428680163,182.340553082
L_AK_45_AC_170,NOHAB,1,3493,8,3.18304039674,4.12017109556,1.1967885077,3.833333333,75.66666667,1170.73397149,24.4296923715,3.833333333,18.0,34.0,55.9384772629,10.7414341872,6.48675521989,16.5649249316,3.18083472548,1.92090701293,5.36747988344,6.94773949286,2.0181139537,1.87237670396,2.42363005621,0.703993239826,70.0396884015,421.345330415,10.0872887258,0.82412251294,31.2433042733,0.0992398837572,9.76125674634,6.13037779491,7.10836545875,10.33333333,231.5,108.729256037,198.968105562
L_AK_45_AC_170,NOHAB,1,3493,9,3.93199107832,5.08962311804,1.47838580364,4.5,62.33333333,1158.27314112,24.1696723669,4.333333333,15.33333333,27.83333333,56.3207447613,10.8148380655,6.53108384326,22.298937407,4.28189289952,2.58583636346,4.18164130676,5.41277379382,1.57225156941,1.93478926089,2.50441772491,0.727459681201,69.2942135989,416.860696999,9.97992360545,0.696020567937,26.386832107,0.0838139950919,9.47832176677,5.95268568403,6.90232587921,10.66666667,189.5,107.571984745,196.850367568
L_AK_45_AC_170,NOHAB,1,3493,10,4.43129153146,5.73592446475,1.66611733379,4.666666667,43.83333333,1293.9793738,27.0014527696,3.5,15.83333333,24.16666667,51.2238447806,9.83611968805,5.94003553138,20.0053324168,3.8414696299,2.31986462325,3.55751573753,4.6048971068,1.33758715567,1.06101346545,1.37339036502,0.398929502521,77.4129002368,465.701158487,11.1491968855,0.636239660098,24.1204784229,0.0766152470275,8.91245181187,5.59730146492,6.49024672321,9.333333333,214.6666667,120.175392588,219.913858238
L_AK_45_AC_170,NOHAB,1,3493,11,4.11922874872,5.33198612367,1.54878512762,6.333333333,39.0,1265.45575402,26.4062507226,3.333333333,27.5,26.33333333,54.6642522658,10.4967545925,6.3389931417,18.9859524161,3.64572595354,2.20165496034,3.74475340792,4.84726011242,1.40798647965,1.68513903357,2.18126705059,0.633593915844,75.7064618063,455.435552218,10.9034314126,0.772881734939,29.3007154068,0.0930695282911,6.93190696338,4.35345669405,5.04796967258,8.833333333,215.0,117.526326248,215.066223568
L_AK_45_AC_170,NOHAB,1,3493,12,4.74335431795,6.13986281068,1.78344954136,6.0,43.66666667,1119.04099469,23.3510156168,4.5,22.33333333,26.0,42.0494248199,8.0744266096,4.87614857054,13.761629941,2.64253961769,1.59583044127,3.30786551021,4.28174643248,1.24372139031,1.31066369277,1.69654103935,0.492795267878,66.9471327265,402.741108688,9.64189122749,0.674670243599,25.5774200728,0.0812430136271,8.48804934464,5.33076329992,6.18118735544,9.0,275.3333333,103.928388336,190.182801715
L_AK_45_AC_170,NOHAB,1,3493,13,4.99300454265,6.46301348162,1.87731530573,4.666666667,46.33333333,1250.36646721,26.0913827474,4.0,17.16666667,25.33333333,46.8914797966,9.00420906718,5.43764446624,12.487404944,2.39786002297,1.44806836308,4.11922874872,5.33198612367,1.54878512762,2.37167715823,3.06993140437,0.8917247704,74.80373841,450.004941426,10.7734189619,0.888173485442,33.6715403565,0.10695282809,9.54905551272,5.99710871241,6.95383577487,9.166666667,289.6666667,116.124943039,212.501775209
L_AK_45_AC_170,NOHAB,1,3493,14,4.18164130676,5.41277379382,1.57225156941,5.5,48.5,1206.85091047,25.1833441234,4.333333333,15.83333333,22.66666667,30.708822371,5.89677822144,3.56106607757,12.9970949443,2.49573186115,1.50717319453,3.99440363637,5.1704107882,1.50185224543,1.80996414704,2.34284238751,0.680526798452,72.2004005819,434.343760424,10.3984798249,0.623429465598,23.6348312062,0.075072658161,10.5393279348,6.61903109652,7.67497429864,8.0,266.0,112.083534636,205.106236942
L_AK_45_AC_170,NOHAB,1,3493,15,5.67954266993,7.35167783879,2.13544616128,5.666666667,51.16666667,1462.39528729,30.5157857072,4.166666667,19.33333333,25.5,34.913764853,6.7042208824,4.04868093462,21.1521349119,4.06168126471,2.45285049335,3.43269062406,4.44332176988,1.29065427306,4.36887897716,5.65513679944,1.6426508934,87.4884582972,526.313783085,12.6003036158,0.785691929439,29.7863626234,0.0946121171576,11.034464148,6.9299922899,8.03554356207,8.833333333,271.5,135.816637675,248.53641133
L_AK_45_AC_170,NOHAB,1,3493,16,3.55751573753,4.6048971068,1.33758715567,5.166666667,40.33333333,1502.40623543,31.3506937037,4.166666667,15.33333333,22.16666667,24.9748098956,4.7957200474,2.89613672704,15.2906999345,2.93615513076,1.77314493474,2.49650227207,3.23150674178,0.938657653149,2.18443948783,2.82756839875,0.821325446417,89.8821313338,540.713660919,12.9450463122,0.597809076597,22.663536773,0.0719874804279,10.8222629144,6.7967232074,7.88101387818,7.833333333,263.8333333,139.532563522,255.336335777
L_AK_45_AC_170,NOHAB,1,3493,17,2.80856505594,3.63544508432,1.05598985974,5.166666667,45.83333333,1467.84690047,30.6295444569,4.166666667,12.5,20.0,22.298937407,4.28189289952,2.58583636346,15.5455449309,2.98509104912,1.80269735002,1.87237670396,2.42363005621,0.703993239826,2.05961437436,2.66599306183,0.774392563809,87.8146035169,528.275810165,12.647275855,0.491057455932,18.6164766408,0.0591325732274,10.0441917259,6.3080699058,7.3144050383,8.166666667,261.0,136.322943855,249.462921683
L_AK_45_AC_170,NOHAB,1,3493,18,2.62132738555,3.3930820787,0.985590535757,6.333333333,47.5,1475.92697009,30.7981511772,2.833333333,15.66666667,21.66666667,17.0746149243,3.27870656219,1.9800118435,10.7034899541,2.05530859153,1.24120145432,0.624125568112,0.807876685565,0.234664413322,1.3730762497,1.77732870805,0.516261709253,88.2979973301,531.183814621,12.7168954246,0.508137715095,19.2640062565,0.0611893583622,9.76125674634,6.13037779491,7.10836545875,8.666666667,205.6666667,137.073361952,250.836142402
